codigo_materia,nombre_materia,creditos,codigo_carrera,carrera,semestre_cursada,docente
MAT001,Cálculo I,4,ING001,Ingeniería de Sistemas,1,Dr. Roberto Silva
MAT002,Álgebra Lineal,3,ING001,Ingeniería de Sistemas,2,Dra. Carmen Vega
MAT003,Programación I,4,ING001,Ingeniería de Sistemas,1,Ing. Miguel Torres
MAT004,Estructura de Datos,4,ING001,Ingeniería de Sistemas,3,Ing. Ana Morales
MAT005,Base de Datos,3,ING001,Ingeniería de Sistemas,4,Dr. Luis Herrera
MAT006,Sistemas Operativos,4,ING001,Ingeniería de Sistemas,5,Ing. Patricia Rojas
MAT007,Redes de Computadores,3,ING001,Ingeniería de Sistemas,6,Dr. Carlos Mendoza
MAT008,Ingeniería de Software,4,ING001,Ingeniería de Sistemas,7,Dra. Elena Castro
MAT009,Anatomía Humana,5,MED001,Medicina,1,Dr. Fernando López
MAT010,Fisiología,5,MED001,Medicina,2,Dra. Gabriela Sánchez
MAT011,Bioquímica,4,MED001,Medicina,3,Dr. Andrés Ramírez
MAT012,Patología,5,MED001,Medicina,4,Dra. Sofía González
MAT013,Farmacología,4,MED001,Medicina,5,Dr. Diego Flores
MAT014,Medicina Interna,6,MED001,Medicina,6,Dra. Laura Vargas
MAT015,Cirugía General,5,MED001,Medicina,7,Dr. Roberto Jiménez
MAT016,Pediatría,4,MED001,Medicina,8,Dra. María Ortega
MAT017,Derecho Civil,4,DER001,Derecho,1,Dr. José Ruiz
MAT018,Derecho Penal,4,DER001,Derecho,2,Dra. Carmen Silva
MAT019,Derecho Constitucional,3,DER001,Derecho,3,Dr. Miguel Ramos
MAT020,Derecho Comercial,4,DER001,Derecho,4,Dra. Ana Guerrero
MAT021,Derecho Laboral,3,DER001,Derecho,5,Dr. Carlos Peña
MAT022,Derecho Internacional,4,DER001,Derecho,6,Dra. Elena Vega
MAT023,Derecho Procesal,4,DER001,Derecho,7,Dr. Fernando Herrera
MAT024,Ética Jurídica,2,DER001,Derecho,8,Dra. Sofía Aguilar
MAT025,Microeconomía,3,ECO001,Economía,1,Dr. Diego Medina
MAT026,Macroeconomía,3,ECO001,Economía,2,Dra. Laura Romero
MAT027,Estadística,4,ECO001,Economía,3,Dr. Roberto Castillo
MAT028,Econometría,4,ECO001,Economía,4,Dra. Carmen Moreno
MAT029,Finanzas Públicas,3,ECO001,Economía,5,Dr. Miguel Núñez
MAT030,Comercio Internacional,4,ECO001,Economía,6,Dra. Ana Reyes
MAT031,Desarrollo Económico,3,ECO001,Economía,7,Dr. Carlos Paredes
MAT032,Política Económica,4,ECO001,Economía,8,Dra. Elena Salazar
MAT033,Psicología General,3,PSI001,Psicología,1,Dr. José Delgado
MAT034,Neuropsicología,4,PSI001,Psicología,2,Dra. Carmen Carrasco
MAT035,Psicología del Desarrollo,3,PSI001,Psicología,3,Dr. Miguel Espinoza
MAT036,Psicología Social,4,PSI001,Psicología,4,Dra. Ana Ibarra
MAT037,Psicología Clínica,4,PSI001,Psicología,5,Dr. Carlos Contreras
MAT038,Psicometría,3,PSI001,Psicología,6,Dra. Elena Soto
