

id_nota,registro_estudiante,codigo_materia,nombre_materia,nota,fecha_evaluacion,tipo_evaluacion
N268,EST060,MAT028,Econometría,84,2023/12/20,Proyecto
N269,EST061,MAT033,Psicología General,93,2021/12/18,Examen Final
N270,EST061,MAT034,Neuropsicología,89,2022/05/25,Examen Final
N271,EST061,MAT035,Psicología del Desarrollo,86,2022/07/22,Ensayo
N272,EST061,MAT036,Psicología Social,91,2022/12/20,Proyecto
N273,EST061,MAT037,Psicología Clínica,88,2023/05/18,Caso Clínico
N274,EST061,MAT038,Psicometría,94,2023/12/15,Examen Final
N275,EST061,MAT039,Psicoterapia,92,2024/05/25,Caso Clínico
N276,EST062,MAT041,Matemáticas Aplicadas,78,2023/06/20,Examen Final
N277,EST062,MAT042,Física I,82,2023/07/25,Examen Final
N278,EST062,MAT043,Dibujo Técnico,85,2023/12/18,Proyecto
N279,EST063,MAT049,Administración General,89,2022/12/22,Examen Final

N280,EST063,MAT050,Contabilidad,85,2023/05/20,Examen Final
N281,EST063,MAT051,Marketing,91,2023/07/18,Proyecto
N282,EST063,MAT052,Finanzas,87,2023/12/25,Caso de Estudio
N283,EST063,MAT053,Recursos Humanos,93,2024/05/22,Proyecto
N284,EST064,MAT001,Cálculo I,75,2024/06/25,Examen Final
N285,EST064,MAT002,Álgebra Lineal,80,2024/07/18,Examen Final
N286,EST065,MAT009,Anatomía Humana,96,2020/12/20,Examen Final
N287,EST065,MAT010,Fisiología,92,2021/05/25,Examen Final
N288,EST065,MAT011,Bioquímica,89,2021/07/18,Examen Final
N289,EST065,MAT012,Patología,94,2021/12/22,Examen Final
N290,EST065,MAT013,Farmacología,91,2022/05/20,Examen Final
N291,EST065,MAT014,Medicina Interna,88,2022/12/15,Examen Final
N292,EST065,MAT015,Cirugía General,95,2023/05/25,Práctica
N293,EST065,MAT016,Pediatría,93,2023/12/18,Examen Final
N294,EST066,MAT017,Derecho Civil,72,2024/12/20,Examen Final
N295,EST067,MAT025,Microeconomía,88,2021/06/22,Examen Final
N296,EST067,MAT026,Macroeconomía,84,2021/12/25,Examen Final
N297,EST067,MAT027,Estadística,90,2022/05/18,Examen Final
N298,EST067,MAT028,Econometría,86,2022/12/22,Proyecto
N299,EST067,MAT029,Finanzas Públicas,92,2023/05/20,Examen Final
N300,EST067,MAT030,Comercio Internacional,89,2023/12/15,Caso de Estudio
N301,EST068,MAT033,Psicología General,82,2022/12/25,Examen Final
N302,EST068,MAT034,Neuropsicología,87,2023/05/18,Examen Final
N303,EST068,MAT035,Psicología del Desarrollo,85,2023/07/22,Ensayo
N304,EST068,MAT036,Psicología Social,91,2023/12/20,Proyecto
N305,EST069,MAT041,Matemáticas Aplicadas,93,2021/06/18,Examen Final
N306,EST069,MAT042,Física I,89,2021/07/25,Examen Final
N307,EST069,MAT043,Dibujo Técnico,86,2021/12/20,Proyecto
N308,EST069,MAT044,Mecánica de Materiales,92,2022/05/22,Examen Final
N309,EST069,MAT045,Hidráulica,88,2022/12/18,Laboratorio
N310,EST069,MAT046,Estructuras,94,2023/05/25,Proyecto
N311,EST069,MAT047,Geotecnia,91,2023/12/15,Examen Final
N312,EST070,MAT049,Administración General,79,2023/12/22,Examen Final
N313,EST070,MAT050,Contabilidad,83,2024/05/20,Examen Final
N314,EST070,MAT051,Marketing,87,2024/07/25,Proyecto
N315,EST071,MAT001,Cálculo I,90,2022/06/20,Examen Final
N316,EST071,MAT002,Álgebra Lineal,86,2022/07/25,Examen Final
N317,EST071,MAT003,Programación I,94,2022/12/18,Proyecto
N318,EST071,MAT004,Estructura de Datos,88,2023/05/22,Examen Final
N319,EST071,MAT005,Base de Datos,92,2023/12/20,Proyecto
N320,EST072,MAT009,Anatomía Humana,77,2024/12/18,Examen Final
N321,EST073,MAT017,Derecho Civil,95,2020/06/25,Examen Final
N322,EST073,MAT018,Derecho Penal,92,2020/12/20,Examen Final
N323,EST073,MAT019,Derecho Constitucional,89,2021/05/18,Ensayo
N324,EST073,MAT020,Derecho Comercial,93,2021/12/25,Examen Final
N325,EST073,MAT021,Derecho Laboral,87,2022/05/22,Examen Final
N326,EST073,MAT022,Derecho Internacional,94,2022/12/18,Ensayo
N327,EST073,MAT023,Derecho Procesal,91,2023/05/20,Examen Final
N328,EST073,MAT024,Ética Jurídica,96,2023/12/15,Ensayo
N329,EST074,MAT025,Microeconomía,74,2024/12/25,Examen Final
N330,EST075,MAT033,Psicología General,87,2021/12/22,Examen Final
N331,EST075,MAT034,Neuropsicología,83,2022/05/18,Examen Final
N332,EST075,MAT035,Psicología del Desarrollo,90,2022/07/25,Ensayo
N333,EST075,MAT036,Psicología Social,85,2022/12/20,Proyecto
N334,EST075,MAT037,Psicología Clínica,92,2023/05/25,Caso Clínico
